name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|hbp|x2b|x3b|avg|obp|slg
Victor Mederos|ATL|1|0|0|2|0|0|0|1|1|0|0|0|0|1.0|1.0|1.0
Jihwan Bae|MIL|4|0|1|0|1|1|0|1|2|0|1|0|0|0.5|0.667|0.5
Jair Camargo|ATL|2|0|1|0|0|1|0|1|2|0|0|1|0|0.5|0.5|1.0
Gabriel Gonzalez|MIN|4|0|1|0|0|0|2|1|2|0|0|0|0|0.5|0.75|0.5
Michael Stefanic|ATH|7|0|1|1|0|1|0|3|7|0|0|1|0|0.429|0.429|0.571
Joshua Kuroda-Grauer|ATH|62|1|8|4|0|7|1|25|60|0|1|7|0|0.417|0.435|0.583
Justin Dean|CHC|10|0|3|3|1|4|2|3|8|0|0|0|1|0.375|0.5|0.625
Brewer Hicklen|ATL|23|0|5|3|0|8|4|7|19|0|0|4|0|0.368|0.478|0.579
Gustavo Campero|LAA|12|0|0|2|0|4|0|4|11|1|0|1|0|0.364|0.333|0.455
Bryan De La Cruz|PHI|48|2|6|11|0|10|2|15|42|2|2|2|0|0.357|0.396|0.548
José Azócar|ATL|18|0|2|0|1|4|1|6|17|0|0|2|0|0.353|0.389|0.471
Tyler Black|MIL|28|0|2|7|0|7|1|9|27|0|0|4|0|0.333|0.357|0.481
Deyvison De Los Santos|MIA|9|0|0|0|0|3|0|3|9|0|0|1|0|0.333|0.333|0.444
Walker Jenkins|MIN|7|0|0|1|1|1|1|2|6|0|0|1|0|0.333|0.429|0.5
Matthew Lugo|KCR|3|0|0|0|0|2|0|1|3|0|0|0|0|0.333|0.333|0.333
Omar Martinez|LAA|3|0|0|0|0|1|0|1|3|0|0|0|0|0.333|0.333|0.333
Samad Taylor|SDP|102|1|14|11|6|30|12|29|88|0|0|1|1|0.33|0.41|0.398
Brett Bateman|TOR|83|0|9|6|2|18|5|25|76|1|0|3|1|0.329|0.366|0.395
Yordan Alvarez|HOU|588|37|90|93|1|102|93|154|481|5|9|28|1|0.32|0.435|0.613
Luis Arraez|PHI|562|6|63|54|10|24|27|163|515|10|4|28|7|0.317|0.349|0.433
