name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|hbp|x2b|x3b|avg|obp|slg
Victor Mederos|ATL|1|0|0|2|0|0|0|1|1|0|0|0|0|1.0|1.0|1.0
Jair Camargo|ATL|2|0|1|0|0|1|0|1|2|0|0|1|0|0.5|0.5|1.0
Max Clark|DET|15|1|4|3|0|3|3|6|12|0|0|2|0|0.5|0.6|0.917
Gabriel Gonzalez|MIN|4|0|1|0|0|0|2|1|2|0|0|0|0|0.5|0.75|0.5
Abimelec Ortiz|WSH|2|0|0|0|0|0|0|1|2|0|0|1|0|0.5|0.5|1.0
Eduardo Valencia|DET|32|4|9|11|0|8|0|14|31|0|1|3|0|0.452|0.469|0.935
Bryan De La Cruz|PHI|23|2|3|6|0|5|1|9|20|2|0|1|0|0.45|0.435|0.8
Joshua Kuroda-Grauer|ATH|62|1|8|4|0|7|1|25|60|0|1|7|0|0.417|0.435|0.583
Michael Stefanic|ATH|5|0|1|0|0|1|0|2|5|0|0|0|0|0.4|0.4|0.4
Enrique Hernández|LAD|13|1|2|2|0|2|0|5|13|0|0|2|0|0.385|0.385|0.769
Justin Dean|CHC|10|0|3|3|1|4|2|3|8|0|0|0|1|0.375|0.5|0.625
Brewer Hicklen|ATL|23|0|5|3|0|8|4|7|19|0|0|4|0|0.368|0.478|0.579
José Azócar|ATL|18|0|2|0|1|4|1|6|17|0|0|2|0|0.353|0.389|0.471
Osleivis Basabe|SFG|10|2|2|5|0|2|0|3|9|0|1|1|0|0.333|0.4|1.111
Tyler Black|MIL|28|0|2|7|0|7|1|9|27|0|0|4|0|0.333|0.357|0.481
Omar Martinez|LAA|3|0|0|0|0|1|0|1|3|0|0|0|0|0.333|0.333|0.333
Yordan Alvarez|HOU|489|35|77|84|1|83|77|133|403|3|6|24|0|0.33|0.442|0.65
Samad Taylor|SDP|102|1|14|11|6|30|12|29|88|0|0|1|1|0.33|0.41|0.398
Tyler Tolbert|KCR|91|3|22|6|15|15|6|26|80|1|0|3|0|0.325|0.368|0.475
Luis Arraez|SFG|464|4|52|43|10|21|25|136|420|9|4|23|7|0.324|0.36|0.44
Jeremy Peña|HOU|280|13|53|36|8|52|17|82|255|2|6|12|1|0.322|0.375|0.529
Otto Lopez|MIA|472|9|68|51|23|64|23|140|436|9|4|28|7|0.321|0.354|0.479
Jordan Lawlar|ARI|44|1|6|4|4|10|3|12|38|0|3|2|0|0.316|0.409|0.447
John Rave|KCR|35|2|6|2|1|8|3|10|32|0|0|4|1|0.313|0.371|0.688
Blaze Alexander|BAL|246|4|31|29|9|54|16|69|221|1|4|12|2|0.312|0.368|0.439
Nick Gonzales|PIT|443|6|61|50|5|76|28|127|407|1|7|18|1|0.312|0.366|0.405
James McCann|ARI|92|3|10|18|0|23|2|27|87|0|1|4|0|0.31|0.333|0.46
Freddie Freeman|LAD|470|15|57|54|5|76|50|128|413|4|3|27|1|0.31|0.385|0.489
Pedro Ramírez|CHC|109|1|15|14|5|17|10|30|97|1|0|8|1|0.309|0.37|0.443
Alex Jackson|MIN|68|1|10|5|0|22|1|20|65|0|2|4|0|0.308|0.338|0.415
Trey Mancini|LAA|14|0|1|4|0|3|0|4|13|1|0|0|1|0.308|0.286|0.462
Cole Carrigg|COL|168|5|32|27|5|32|19|43|141|4|3|10|3|0.305|0.389|0.525
Luis Campusano|SDP|119|4|14|16|0|28|16|31|102|0|1|8|0|0.304|0.403|0.5
Jake Mangum|PIT|318|3|40|23|20|57|16|88|290|1|8|11|1|0.303|0.356|0.379
Tommy Edman|LAD|133|2|19|18|3|26|10|35|116|0|5|6|2|0.302|0.382|0.44
Jung Hoo Lee|SFG|411|6|53|40|7|42|17|116|385|3|6|25|4|0.301|0.338|0.434
Yandy Díaz|TBR|469|15|59|63|2|69|42|125|415|3|9|19|1|0.301|0.375|0.46
Andrew Vaughn|MIL|211|4|24|28|0|26|24|54|181|2|4|15|2|0.298|0.389|0.47
Gabriel Moreno|ARI|350|8|46|47|4|52|40|89|299|7|4|18|0|0.298|0.38|0.438
Ty France|SDP|298|16|37|49|1|68|14|80|269|4|10|13|2|0.297|0.35|0.539
TJ Rumfield|COL|441|13|48|58|0|65|44|115|388|2|7|23|2|0.296|0.376|0.466
Chandler Simpson|TBR|413|0|45|20|27|38|20|113|382|4|0|11|6|0.296|0.328|0.356
Wade Meckler|LAA|165|3|20|19|3|37|15|44|149|0|1|9|0|0.295|0.364|0.416
Josh Jung|TEX|396|9|46|35|1|71|33|104|354|3|6|23|1|0.294|0.361|0.441
Victor Bericoto|SFG|59|4|7|9|1|15|1|17|58|0|0|3|0|0.293|0.305|0.552
Shohei Ohtani|LAD|470|24|70|67|6|108|67|114|391|5|5|22|2|0.292|0.397|0.542
