name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|hbp|x2b|x3b|avg|obp|slg
Ryan Vilade|TBR|266|11|27|41|3|62|25|58|234|3|3|8|2|0.248|0.325|0.44
Austin Hedges|CLE|241|5|23|24|1|44|24|52|210|2|1|10|0|0.248|0.325|0.367
Blaze Jordan|STL|199|3|16|28|0|30|7|46|186|4|2|8|4|0.247|0.276|0.382
Tyler Freeman|COL|288|3|29|23|6|34|11|63|255|0|15|6|1|0.247|0.317|0.314
Daylen Lile|WSH|643|22|81|88|15|126|40|146|591|6|6|28|8|0.247|0.299|0.433
Mike Trout|LAA|619|22|85|54|11|161|103|124|502|2|11|26|0|0.247|0.385|0.43
Anthony Seigler|BOS|173|3|21|13|2|28|18|37|150|2|1|12|1|0.247|0.327|0.4
Edmundo Sosa|PHI|242|8|29|43|4|51|7|55|223|3|6|10|2|0.247|0.285|0.417
Eli White|BOS|204|6|27|29|5|45|11|47|191|1|1|9|1|0.246|0.289|0.398
Hunter Goodman|COL|556|39|81|83|5|173|45|123|501|5|5|19|2|0.246|0.311|0.525
Sebastián Rivero|LAA|57|0|5|8|0|12|3|13|53|0|0|2|0|0.245|0.286|0.283
Spencer Jones|NYY|281|11|34|39|10|102|25|62|253|1|1|13|1|0.245|0.314|0.435
Tyler Stephenson|CIN|460|15|39|54|0|125|48|99|404|5|3|22|0|0.245|0.326|0.411
Tyler Soderstrom|ATH|453|19|58|56|2|91|53|97|396|1|3|27|3|0.245|0.338|0.472
Travis Bazzana|CLE|501|15|53|57|19|104|56|106|433|5|7|20|2|0.245|0.337|0.404
Gabriel Arias|CHC|147|5|14|13|4|60|8|34|139|0|0|3|0|0.245|0.286|0.374
Andrés Giménez|TOR|500|9|37|58|20|93|16|113|462|5|15|25|1|0.245|0.289|0.361
Vaughn Grissom|LAA|455|13|46|70|1|83|30|99|405|6|12|22|0|0.244|0.311|0.395
Brady House|WSH|344|10|42|45|3|89|27|76|311|3|3|17|0|0.244|0.308|0.395
Cole Young|SEA|621|17|71|65|4|107|39|138|565|3|13|19|4|0.244|0.306|0.382
Ben Williamson|TBR|277|3|32|26|8|51|20|62|254|0|2|10|1|0.244|0.304|0.327
Iván Herrera|STL|701|18|96|68|8|131|75|144|590|5|31|26|1|0.244|0.357|0.383
Anthony Volpe|NYY|234|2|24|26|11|52|24|51|209|1|0|11|1|0.244|0.321|0.335
