name|team|ip|w|sv|hld|era|whip|so|hr|qs|er|h|bb|hbp|bf
Kai-Wei Teng|HOU|68.3|5|0|3|4.35|1.35|67|10|2|33|62|30|11|301
Craig Kimbrel|TBR|31.0|0|0|1|4.35|1.23|29|4|0|15|26|12|1|128
Seth Lugo|KCR|117.7|4|0|0|4.36|1.37|94|15|12|57|123|38|5|499
Bryan Woo|SEA|115.3|7|0|0|4.37|1.14|114|12|11|56|107|24|3|475
Matt Festa|CLE|43.0|2|1|7|4.4|1.4|47|6|0|21|47|13|4|193
Grant Wolfram|BAL|30.7|2|1|12|4.4|1.34|33|1|0|15|33|8|4|136
Enyel De Los Santos|HOU|49.0|1|5|8|4.41|1.2|47|6|0|24|47|12|0|202
Will Warren|NYY|102.0|7|0|1|4.41|1.41|102|15|5|50|108|36|3|450
Devin Williams|NYM|34.7|3|14|0|4.41|1.62|48|3|0|17|37|19|0|160
Gage Jump|ATH|57.0|3|0|0|4.42|1.42|61|7|3|28|60|21|3|245
Brent Suter|LAA|59.0|1|0|3|4.42|1.27|53|7|0|29|61|14|1|246
Brandon Pfaadt|ARI|65.0|5|0|2|4.43|1.32|45|8|2|32|66|20|4|280
Ryan Watson|BOS|54.7|1|1|1|4.45|1.3|43|8|0|27|52|19|3|235
Anthony Banda|MIN|34.3|2|2|10|4.46|1.34|33|3|0|17|31|15|8|156
Ryne Stanek|STL|40.3|2|1|17|4.46|1.44|43|6|0|20|35|23|1|177
Anthony Nunez|BAL|42.3|2|3|6|4.46|1.25|44|5|0|21|35|18|2|181
Bubba Chandler|PIT|100.7|3|0|0|4.47|1.39|90|10|3|50|84|56|5|442
Luisangel Acuña|CHW|2.0|0|0|0|4.5|1.5|0|1|0|1|2|1|0|9
Danny Coulombe|BOS|22.0|0|0|7|4.5|1.5|10|1|0|11|18|15|1|96
Jeff Criswell|COL|4.0|0|0|0|4.5|1.75|3|2|0|2|4|3|0|18
Ryan Gusto|MIA|34.0|0|0|1|4.5|1.32|31|3|0|17|34|11|2|151
Brett Kerry|LAA|4.0|0|0|0|4.5|1.0|2|0|0|2|3|1|0|16
Stephen Kolek|KCR|54.0|4|0|0|4.5|1.24|34|8|5|27|55|12|2|224
Jorge Mateo|ATL|2.0|0|0|0|4.5|2.5|0|0|0|1|4|1|0|10
David Morgan|SDP|22.0|2|0|1|4.5|1.77|26|2|0|11|26|13|3|105
Doug Nikhazy|CHW|2.0|0|0|0|4.5|1.5|1|0|0|1|1|2|0|9
Nick Pivetta|SDP|16.0|1|0|0|4.5|1.13|24|0|0|8|12|6|0|66
JR Ritchie|ATL|54.0|1|1|2|4.5|1.41|49|9|1|27|43|33|4|236
Lucas Sims|CHW|10.0|0|0|2|4.5|1.6|10|1|0|5|9|7|1|46
Bennett Sousa|HOU|6.0|0|0|3|4.5|1.83|6|0|0|3|6|5|0|28
Kevin Gausman|TOR|121.7|4|0|0|4.51|1.27|123|15|11|61|119|35|1|515
Sean Manaea|NYM|85.7|2|0|0|4.52|1.35|84|12|3|43|88|28|9|377
Framber Valdez|DET|113.3|5|0|0|4.53|1.38|92|12|10|57|115|41|12|503
Brady Singer|CIN|103.3|5|0|0|4.53|1.38|88|21|7|52|111|32|8|454
Mason Englert|TBR|35.7|0|1|0|4.54|1.43|32|9|0|18|43|8|1|157
Bailey Ober|MIN|81.0|7|0|0|4.56|1.25|60|13|4|41|79|22|2|342
