name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|hbp|x2b|x3b|avg|obp|slg
Enrique Hernández|LAD|4|1|2|2|0|0|0|4|4|0|0|2|0|1.0|1.0|2.25
Rafael Flores Jr.|PIT|5|1|2|2|0|0|2|2|3|0|0|1|0|0.667|0.8|2.0
Jair Camargo|ATL|2|0|1|0|0|1|0|1|2|0|0|1|0|0.5|0.5|1.0
Gabriel Gonzalez|MIN|4|0|1|0|0|0|2|1|2|0|0|0|0|0.5|0.75|0.5
Joshua Kuroda-Grauer|ATH|27|0|4|1|0|2|0|12|26|0|1|3|0|0.462|0.481|0.577
Jonatan Clase|TOR|5|1|2|3|0|2|0|2|5|0|0|0|0|0.4|0.4|1.0
Justin Dean|CHC|6|0|3|3|0|2|1|2|5|0|0|0|1|0.4|0.5|0.8
Michael Stefanic|ATH|5|0|1|0|0|1|0|2|5|0|0|0|0|0.4|0.4|0.4
Tyler Tolbert|KCR|54|2|17|5|10|10|4|19|48|1|0|1|0|0.396|0.434|0.542
José Azócar|ATL|18|0|2|0|1|4|1|6|17|0|0|2|0|0.353|0.389|0.471
Otto Lopez|MIA|388|9|59|43|17|51|17|124|361|6|4|25|5|0.343|0.374|0.515
Tommy Edman|LAD|63|1|7|9|2|11|7|18|53|0|1|3|1|0.34|0.426|0.491
Tyler Black|MIL|28|0|2|7|0|7|1|9|27|0|0|4|0|0.333|0.357|0.481
Omar Martinez|LAA|3|0|0|0|0|1|0|1|3|0|0|0|0|0.333|0.333|0.333
Samad Taylor|SDP|102|1|14|11|6|30|12|29|88|0|0|1|1|0.33|0.41|0.398
Luis Arraez|SFG|380|4|45|34|7|15|21|112|342|8|3|20|7|0.327|0.364|0.462
Nicky Lopez|TEX|113|1|13|11|4|16|3|34|105|0|2|2|0|0.324|0.355|0.371
Andrew Vaughn|MIL|162|2|19|24|0|19|20|45|139|1|2|14|2|0.324|0.414|0.496
Yandy Díaz|TBR|372|13|47|55|1|52|37|103|323|3|9|15|1|0.319|0.401|0.492
Donovan Walton|LAA|97|3|14|12|0|18|5|29|91|0|0|8|0|0.319|0.354|0.505
Cole Carrigg|COL|101|4|23|21|2|19|11|27|85|3|1|6|3|0.318|0.39|0.6
Jordan Lawlar|ARI|44|1|6|4|4|10|3|12|38|0|3|2|0|0.316|0.409|0.447
Luis Urías|TOR|22|1|2|2|0|3|3|6|19|0|0|1|0|0.316|0.409|0.526
Nick Gonzales|PIT|352|4|49|41|4|62|23|101|322|1|6|13|1|0.314|0.369|0.398
Yordan Alvarez|HOU|402|29|62|67|1|70|59|105|335|3|5|16|0|0.313|0.42|0.621
Ben Malgeri|DET|21|0|2|4|0|4|4|5|16|1|0|1|0|0.313|0.429|0.375
Jung Hoo Lee|SFG|335|5|46|33|6|32|14|98|315|3|3|20|3|0.311|0.343|0.441
Esmerlyn Valdez|PIT|83|6|15|17|0|29|8|23|74|1|0|5|1|0.311|0.373|0.649
Troy Johnston|COL|304|3|32|39|4|51|27|83|268|3|5|23|0|0.31|0.38|0.429
Blaze Alexander|BAL|230|3|26|28|9|52|15|64|207|1|3|12|2|0.309|0.363|0.43
Victor Bericoto|SFG|56|4|7|9|1|13|1|17|55|0|0|3|0|0.309|0.321|0.582
Michael Harris II|ATL|330|16|43|53|5|67|15|96|312|2|1|15|0|0.308|0.339|0.51
Trey Mancini|LAA|14|0|1|4|0|3|0|4|13|1|0|0|1|0.308|0.286|0.462
Brandon Marsh|PHI|342|15|50|46|8|90|16|98|321|3|2|15|2|0.305|0.339|0.505
Jake Mangum|PIT|235|1|31|15|17|41|13|65|213|1|5|9|0|0.305|0.358|0.362
Jake McCarthy|COL|286|9|37|51|14|50|15|79|261|3|3|16|6|0.303|0.344|0.513
Xavier Edwards|MIA|388|6|50|35|13|47|49|100|333|5|0|13|5|0.3|0.385|0.423
Luis Campusano|SDP|68|3|10|10|0|17|7|18|60|0|1|7|0|0.3|0.382|0.567
Alex Jackson|MIN|52|1|6|4|0|15|0|15|50|0|2|3|0|0.3|0.327|0.42
Juan Soto|NYM|313|20|42|49|7|39|50|78|261|1|0|8|2|0.299|0.41|0.575
Anthony Seigler|BOS|64|1|10|3|2|12|6|17|57|0|1|6|0|0.298|0.375|0.456
Ernie Clement|TOR|354|7|39|30|2|34|12|101|339|3|0|23|1|0.298|0.319|0.434
Josh Jung|TEX|359|9|41|34|1|64|29|96|323|2|5|22|0|0.297|0.362|0.449
TJ Rumfield|COL|364|12|42|47|0|52|35|95|320|2|7|20|2|0.297|0.376|0.484
Liam Hicks|MIA|324|13|49|56|1|30|31|83|281|6|5|8|1|0.295|0.368|0.47
Ryan Jeffers|MIN|148|7|26|26|1|23|23|36|122|1|1|7|1|0.295|0.408|0.541
Jeremy Peña|HOU|202|6|34|21|8|35|15|54|183|1|3|9|0|0.295|0.356|0.443
Brandon Lockridge|MIL|96|0|9|12|5|25|10|25|85|0|0|4|0|0.294|0.368|0.341
Connor Wong|BOS|122|1|14|15|2|26|13|30|102|1|3|8|0|0.294|0.387|0.402
Shohei Ohtani|LAD|391|20|62|56|6|88|60|94|320|4|5|15|2|0.294|0.409|0.541
Pete Crow-Armstrong|CHC|395|19|57|50|23|100|41|100|341|2|10|14|4|0.293|0.383|0.525
Freddie Freeman|LAD|394|15|51|49|3|63|47|100|341|3|3|22|1|0.293|0.381|0.496
Ryan O'Hearn|PIT|319|16|47|61|1|70|25|85|290|2|2|12|0|0.293|0.351|0.5
Jordan Walker|STL|376|21|56|69|11|95|31|99|339|3|3|18|0|0.292|0.354|0.531
Henry Bolte|ATH|186|3|18|15|11|49|15|47|161|2|7|6|0|0.292|0.373|0.385
Romy Gonzalez|BOS|25|1|3|5|0|7|1|7|24|0|0|1|1|0.292|0.32|0.542
Sam Antonacci|CHW|287|5|46|25|12|44|20|72|247|1|17|12|2|0.291|0.382|0.417
Tristan Peters|CHW|263|5|35|31|5|48|18|69|237|1|3|19|2|0.291|0.347|0.451
Eloy Jiménez|TOR|35|0|2|3|0|7|3|9|31|1|0|0|0|0.29|0.343|0.29
Gabriel Moreno|ARI|253|6|31|29|4|39|29|63|217|4|3|12|0|0.29|0.375|0.429
Bobby Witt Jr.|KCR|381|12|49|38|30|63|39|98|338|3|1|20|1|0.29|0.362|0.462
Randy Arozarena|SEA|357|9|56|41|19|78|33|89|307|3|14|21|1|0.29|0.381|0.453
Trevor Larnach|MIN|272|6|41|30|2|47|33|68|235|0|3|16|1|0.289|0.384|0.443
Riley Greene|DET|380|13|46|44|2|102|46|95|329|3|2|18|1|0.289|0.376|0.468
William Contreras|MIL|369|9|47|51|1|49|32|95|330|4|3|12|0|0.288|0.352|0.406
