name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|hbp|x2b|x3b|avg|obp|slg
DaShawn Keirsey Jr.|ATL|1|0|2|0|0|0|0|1|1|0|0|0|0|1.0|1.0|1.0
Victor Mederos|ATL|1|0|0|2|0|0|0|1|1|0|0|0|0|1.0|1.0|1.0
Jihwan Bae|MIL|4|0|1|0|1|1|0|1|2|0|1|0|0|0.5|0.667|0.5
Jair Camargo|ATL|2|0|1|0|0|1|0|1|2|0|0|1|0|0.5|0.5|1.0
Joshua Kuroda-Grauer|ATH|62|1|8|4|0|7|1|25|60|0|1|7|0|0.417|0.435|0.583
Michael Arroyo|SEA|10|1|2|3|0|2|1|3|8|1|0|1|0|0.375|0.4|0.875
Justin Dean|CHC|10|0|3|3|1|4|2|3|8|0|0|0|1|0.375|0.5|0.625
Michael Stefanic|ATH|21|0|3|2|0|3|2|7|19|0|0|1|0|0.368|0.429|0.421
Gustavo Campero|LAA|12|0|0|2|0|4|0|4|11|1|0|1|0|0.364|0.333|0.455
José Azócar|ATL|18|0|2|0|1|4|1|6|17|0|0|2|0|0.353|0.389|0.471
Brett Bateman|TOR|139|2|19|10|3|28|12|41|122|1|2|5|1|0.336|0.401|0.443
Adael Amador|COL|49|3|12|11|0|7|5|14|42|0|1|3|0|0.333|0.417|0.619
Tyler Black|MIL|28|0|2|7|0|7|1|9|27|0|0|4|0|0.333|0.357|0.481
Brewer Hicklen|ATL|30|0|8|3|0|10|6|8|24|0|0|4|0|0.333|0.467|0.5
Vimael Machín|COL|3|0|0|0|0|2|0|1|3|0|0|0|0|0.333|0.333|0.333
Omar Martinez|LAA|3|0|0|0|0|1|0|1|3|0|0|0|0|0.333|0.333|0.333
Bryan De La Cruz|PHI|67|2|9|12|0|14|4|19|59|2|2|3|0|0.322|0.373|0.475
Eduardo Valencia|DET|100|6|15|18|0|26|2|31|97|0|1|9|0|0.32|0.34|0.598
Luis Arraez|PHI|612|6|66|59|10|26|29|177|560|12|5|30|7|0.316|0.348|0.427
Andrew Vaughn|MIL|319|6|33|42|0|50|34|87|277|2|6|18|2|0.314|0.398|0.458
Leo Bernal|STL|49|3|8|13|0|8|4|14|45|0|0|2|0|0.311|0.367|0.556
Yordan Alvarez|HOU|637|38|95|96|1|113|100|162|522|5|10|30|1|0.31|0.427|0.59
Samad Taylor|SDP|134|1|18|11|8|38|14|36|116|0|1|2|2|0.31|0.389|0.388
Otto Lopez|MIA|631|10|88|67|30|80|34|179|578|11|8|31|9|0.31|0.35|0.446
Alex Jackson|MIN|72|1|12|5|0|24|2|21|68|0|2|4|0|0.309|0.347|0.412
Trey Mancini|LAA|14|0|1|4|0|3|0|4|13|1|0|0|1|0.308|0.286|0.462
Chandler Simpson|TBR|568|0|61|31|41|46|26|161|527|6|0|14|6|0.306|0.335|0.355
Nick Gonzales|PIT|568|6|67|59|7|91|40|157|515|1|12|25|1|0.305|0.368|0.392
Blaze Alexander|BAL|289|4|35|31|10|63|19|79|261|1|4|13|2|0.303|0.358|0.414
Gabriel Moreno|ARI|494|12|62|72|5|74|54|129|427|9|4|31|1|0.302|0.379|0.464
Yandy Díaz|TBR|637|22|84|80|3|92|52|171|569|6|10|25|1|0.301|0.366|0.464
Tyler Tolbert|KCR|135|3|31|8|21|26|12|35|117|1|1|5|0|0.299|0.366|0.419
TJ Rumfield|COL|583|15|62|67|0|81|68|150|504|2|9|29|3|0.298|0.389|0.456
Jake McCarthy|COL|538|15|72|78|29|86|28|146|493|5|7|29|9|0.296|0.34|0.483
Wade Meckler|LAA|278|3|36|26|7|54|27|73|247|0|2|14|0|0.296|0.37|0.389
