name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|hbp|x2b|x3b|avg|obp|slg
DaShawn Keirsey Jr.|ATL|1|0|2|0|0|0|0|1|1|0|0|0|0|1.0|1.0|1.0
Victor Mederos|ATL|1|0|0|2|0|0|0|1|1|0|0|0|0|1.0|1.0|1.0
Jihwan Bae|MIL|4|0|1|0|1|1|0|1|2|0|1|0|0|0.5|0.667|0.5
Jair Camargo|ATL|2|0|1|0|0|1|0|1|2|0|0|1|0|0.5|0.5|1.0
Vimael Machín|COL|6|0|0|0|0|2|0|3|6|0|0|0|0|0.5|0.5|0.5
Joshua Kuroda-Grauer|ATH|62|1|8|4|0|7|1|25|60|0|1|7|0|0.417|0.435|0.583
Justin Dean|CHC|10|0|3|3|1|4|2|3|8|0|0|0|1|0.375|0.5|0.625
Michael Stefanic|ATH|21|0|3|2|0|3|2|7|19|0|0|1|0|0.368|0.429|0.421
Gustavo Campero|LAA|12|0|0|2|0|4|0|4|11|1|0|1|0|0.364|0.333|0.455
José Azócar|ATL|18|0|2|0|1|4|1|6|17|0|0|2|0|0.353|0.389|0.471
Brett Bateman|TOR|157|2|23|11|3|32|14|46|138|1|2|5|1|0.333|0.4|0.428
Tyler Black|MIL|28|0|2|7|0|7|1|9|27|0|0|4|0|0.333|0.357|0.481
Brewer Hicklen|ATL|34|0|8|3|0|12|7|9|27|0|0|5|0|0.333|0.471|0.519
Omar Martinez|LAA|3|0|0|0|0|1|0|1|3|0|0|0|0|0.333|0.333|0.333
Ronny Simon|PIT|40|0|5|2|2|5|2|12|37|0|0|2|0|0.324|0.359|0.378
Eduardo Valencia|DET|105|6|16|18|0|26|3|32|100|0|1|10|0|0.32|0.346|0.6
Luis Arraez|PHI|626|6|66|61|10|26|33|180|570|12|5|33|7|0.316|0.352|0.43
Andrew Vaughn|MIL|321|6|33|43|0|51|34|88|279|2|6|18|2|0.315|0.399|0.459
Samad Taylor|SDP|143|1|21|13|10|38|14|39|125|0|1|2|2|0.312|0.386|0.384
Yordan Alvarez|HOU|647|39|96|98|1|115|103|164|529|5|10|31|1|0.31|0.428|0.594
Chandler Simpson|TBR|580|0|63|34|42|46|26|167|539|6|0|16|6|0.31|0.338|0.362
Alex Jackson|MIN|72|1|12|5|0|24|2|21|68|0|2|4|0|0.309|0.347|0.412
Michael Arroyo|SEA|18|1|3|3|1|4|4|4|13|1|0|1|0|0.308|0.444|0.615
Trey Mancini|LAA|14|0|1|4|0|3|0|4|13|1|0|0|1|0.308|0.286|0.462
Gabriel Moreno|ARI|514|15|65|75|6|77|57|136|443|9|5|32|1|0.307|0.385|0.485
Nick Gonzales|PIT|576|6|68|60|7|92|41|160|522|1|12|26|1|0.307|0.37|0.395
Otto Lopez|MIA|650|10|89|69|31|85|36|182|595|11|8|31|9|0.306|0.348|0.439
Bryan De La Cruz|PHI|74|2|10|12|0|16|4|20|66|2|2|3|0|0.303|0.351|0.439
Blaze Alexander|BAL|289|4|35|31|10|63|19|79|261|1|4|13|2|0.303|0.358|0.414
TJ Rumfield|COL|597|15|62|69|0|81|69|155|516|2|10|29|3|0.3|0.392|0.455
Yohandy Morales|WSH|30|2|7|4|1|9|0|9|30|0|0|3|0|0.3|0.3|0.6
Josh Jung|TEX|414|9|49|37|1|73|33|111|372|3|6|25|1|0.298|0.362|0.444
Jhonny Pereda|SEA|93|2|11|8|0|17|7|25|84|1|1|1|0|0.298|0.355|0.381
Yandy Díaz|TBR|650|22|86|81|3|93|52|173|582|6|10|25|1|0.297|0.362|0.457
Jake McCarthy|COL|555|15|75|80|30|88|29|150|508|5|8|30|10|0.295|0.34|0.482
