name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|hbp|x2b|x3b|avg|obp|slg
Enrique Hernández|LAD|4|1|2|2|0|0|0|4|4|0|0|2|0|1.0|1.0|2.25
Victor Mederos|ATL|1|0|0|2|0|0|0|1|1|0|0|0|0|1.0|1.0|1.0
Jair Camargo|ATL|2|0|1|0|0|1|0|1|2|0|0|1|0|0.5|0.5|1.0
Gabriel Gonzalez|MIN|4|0|1|0|0|0|2|1|2|0|0|0|0|0.5|0.75|0.5
Abimelec Ortiz|WSH|2|0|0|0|0|0|0|1|2|0|0|1|0|0.5|0.5|1.0
Tommy White|ATH|17|0|1|0|0|0|1|7|16|0|0|1|0|0.438|0.471|0.5
Joshua Kuroda-Grauer|ATH|62|1|8|4|0|7|1|25|60|0|1|7|0|0.417|0.435|0.583
Eduardo Valencia|DET|13|2|3|3|0|4|0|5|12|0|1|0|0|0.417|0.462|0.917
Michael Stefanic|ATH|5|0|1|0|0|1|0|2|5|0|0|0|0|0.4|0.4|0.4
Christian Encarnacion-Strand|BAL|8|1|1|2|0|2|0|3|8|0|0|0|0|0.375|0.375|0.75
Brewer Hicklen|ATL|17|0|3|2|0|6|3|5|14|0|0|3|0|0.357|0.471|0.571
José Azócar|ATL|18|0|2|0|1|4|1|6|17|0|0|2|0|0.353|0.389|0.471
Tommy Edman|LAD|96|2|15|14|2|18|8|28|82|0|4|5|1|0.341|0.426|0.5
Tyler Black|MIL|28|0|2|7|0|7|1|9|27|0|0|4|0|0.333|0.357|0.481
Justin Dean|CHC|8|0|3|3|0|3|2|2|6|0|0|0|1|0.333|0.5|0.667
Rafael Flores Jr.|PIT|16|1|2|2|0|2|4|4|12|0|0|1|0|0.333|0.5|0.667
Omar Martinez|LAA|3|0|0|0|0|1|0|1|3|0|0|0|0|0.333|0.333|0.333
Otto Lopez|MIA|424|9|62|46|18|60|22|130|391|7|4|27|6|0.332|0.368|0.501
Samad Taylor|SDP|102|1|14|11|6|30|12|29|88|0|0|1|1|0.33|0.41|0.398
Tyler Tolbert|KCR|69|2|17|5|11|11|4|20|61|1|0|1|0|0.328|0.364|0.443
Yordan Alvarez|HOU|442|33|68|75|1|76|66|120|368|3|5|20|0|0.326|0.432|0.649
Luis Arraez|SFG|420|4|48|36|8|18|25|122|378|8|3|22|7|0.323|0.362|0.45
Nicky Lopez|TEX|143|1|15|14|4|20|4|42|132|0|2|3|0|0.318|0.348|0.364
Jordan Lawlar|ARI|44|1|6|4|4|10|3|12|38|0|3|2|0|0.316|0.409|0.447
Blaze Alexander|BAL|246|4|31|29|9|54|16|69|221|1|4|12|2|0.312|0.368|0.439
Yandy Díaz|TBR|423|14|55|60|2|57|39|116|372|3|9|17|1|0.312|0.388|0.476
Alex Jackson|MIN|57|1|6|4|0|16|0|17|55|0|2|3|0|0.309|0.333|0.418
Nick Gonzales|PIT|391|5|55|45|4|71|28|110|356|1|6|17|1|0.309|0.368|0.404
Trey Mancini|LAA|14|0|1|4|0|3|0|4|13|1|0|0|1|0.308|0.286|0.462
Jake McCarthy|COL|329|10|44|56|17|57|18|92|300|3|4|20|6|0.307|0.351|0.513
Andrew Vaughn|MIL|183|3|21|26|0|21|20|49|160|1|2|15|2|0.306|0.388|0.481
Esmerlyn Valdez|PIT|122|13|24|34|0|46|13|33|108|1|0|7|1|0.306|0.377|0.75
Gabriel Moreno|ARI|297|6|39|33|4|45|36|77|254|4|3|15|0|0.303|0.391|0.433
Donovan Walton|ATH|111|3|17|12|0|21|10|30|99|0|1|8|1|0.303|0.373|0.495
Jung Hoo Lee|SFG|372|5|49|33|6|37|15|106|350|3|4|21|3|0.303|0.336|0.423
Wade Meckler|LAA|143|2|19|17|3|32|14|39|129|0|0|8|0|0.302|0.371|0.411
