name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|hbp|x2b|x3b|avg|obp|slg
Enrique Hernández|LAD|4|1|2|2|0|0|0|4|4|0|0|2|0|1.0|1.0|2.25
Rafael Flores Jr.|PIT|5|1|2|2|0|0|2|2|3|0|0|1|0|0.667|0.8|2.0
Jair Camargo|ATL|2|0|1|0|0|1|0|1|2|0|0|1|0|0.5|0.5|1.0
Justin Dean|CHC|2|0|1|3|0|0|0|1|2|0|0|0|1|0.5|0.5|1.5
Gabriel Gonzalez|MIN|4|0|1|0|0|0|2|1|2|0|0|0|0|0.5|0.75|0.5
John Rave|KCR|9|1|3|1|0|1|3|3|6|0|0|1|1|0.5|0.667|1.5
Tommy Edman|LAD|13|0|0|0|0|2|1|5|12|0|0|1|0|0.417|0.462|0.5
Jonah Cox|SFG|16|1|5|2|2|7|0|6|15|0|0|1|1|0.4|0.4|0.8
Michael Stefanic|ATH|5|0|1|0|0|1|0|2|5|0|0|0|0|0.4|0.4|0.4
Raynel Delgado|HOU|8|0|1|2|0|2|0|3|8|0|0|0|0|0.375|0.375|0.375
Kameron Misner|KCR|17|0|0|3|1|6|1|6|16|0|0|0|0|0.375|0.412|0.375
Cooper Pratt|MIL|18|0|2|2|3|4|1|6|16|1|0|0|0|0.375|0.389|0.375
Samad Taylor|SDP|50|1|11|8|4|13|5|16|43|0|0|1|0|0.372|0.438|0.465
Andrew Vaughn|MIL|124|2|15|20|0|14|14|38|108|0|2|11|1|0.352|0.435|0.528
Donovan Walton|LAA|71|2|11|8|0|11|3|23|67|0|0|6|0|0.343|0.371|0.522
José Azócar|ATL|16|0|1|0|1|3|1|5|15|0|0|2|0|0.333|0.375|0.467
Tyler Black|MIL|28|0|2|7|0|7|1|9|27|0|0|4|0|0.333|0.357|0.481
Omar Martinez|LAA|3|0|0|0|0|1|0|1|3|0|0|0|0|0.333|0.333|0.333
Junior Perez|CHW|7|1|1|1|0|2|1|2|6|0|0|0|0|0.333|0.429|0.833
LaMonte Wade Jr.|HOU|13|1|2|4|0|3|1|4|12|0|0|2|0|0.333|0.385|0.75
Otto Lopez|MIA|324|5|47|32|15|47|14|100|301|5|4|19|3|0.332|0.364|0.465
Jung Hoo Lee|SFG|277|4|39|26|4|26|11|86|260|3|3|18|2|0.331|0.361|0.462
Nelson Velázquez|STL|35|2|6|6|0|9|3|10|31|0|1|2|0|0.323|0.4|0.581
Yandy Díaz|TBR|309|12|37|48|1|41|29|87|270|2|8|11|1|0.322|0.401|0.504
Luis Arraez|SFG|326|3|39|30|6|13|18|94|293|7|3|15|6|0.321|0.358|0.444
Yordan Alvarez|HOU|335|24|52|55|1|57|47|90|281|2|5|15|0|0.32|0.424|0.63
Will Wagner|SDP|28|0|3|0|0|5|6|7|22|0|0|1|0|0.318|0.464|0.364
Jordan Lawlar|ARI|44|1|6|4|4|10|3|12|38|0|3|2|0|0.316|0.409|0.447
Brandon Marsh|PHI|275|9|40|35|7|69|13|81|257|3|2|13|2|0.315|0.349|0.486
Henry Bolte|ATH|126|2|11|9|7|36|11|34|108|2|5|5|0|0.315|0.397|0.417
Ali Sánchez|NYY|17|0|2|2|0|6|1|5|16|0|0|1|0|0.313|0.353|0.375
Troy Johnston|COL|265|3|30|34|4|47|22|73|236|2|4|21|0|0.309|0.375|0.436
Trey Mancini|LAA|14|0|1|4|0|3|0|4|13|1|0|0|1|0.308|0.286|0.462
Michael Harris II|ATL|262|14|35|41|3|53|12|76|248|1|1|10|0|0.306|0.34|0.516
Nathan Lukes|TOR|146|2|15|14|0|22|6|41|134|1|4|8|0|0.306|0.352|0.41
Bryce Eldridge|SFG|140|6|19|16|0|30|18|37|121|1|0|9|0|0.306|0.393|0.529
Josh Jung|TEX|303|8|36|30|1|49|22|84|275|2|4|17|0|0.305|0.363|0.455
Jackson Chourio|MIL|187|10|29|29|5|44|14|52|171|1|1|12|0|0.304|0.358|0.55
Blaze Alexander|BAL|184|2|20|21|8|41|11|50|165|1|3|11|1|0.303|0.356|0.418
Juan Soto|NYM|253|17|36|38|6|33|35|65|216|1|0|7|1|0.301|0.397|0.579
Blaze Jordan|STL|31|1|5|7|0|2|1|9|30|0|0|2|1|0.3|0.323|0.533
Elias Díaz|TEX|45|2|7|9|0|9|1|13|44|0|0|4|0|0.295|0.311|0.523
Jordan Walker|STL|314|18|46|58|10|78|22|85|288|2|2|16|0|0.295|0.347|0.538
Ryan Jeffers|MIN|148|7|26|26|1|23|23|36|122|1|1|7|1|0.295|0.408|0.541
Shohei Ohtani|LAD|322|16|52|43|6|74|51|77|261|3|5|15|2|0.295|0.416|0.552
Jake Mangum|PIT|172|1|20|12|13|29|10|46|156|1|2|6|0|0.295|0.343|0.353
Bobby Witt Jr.|KCR|337|10|40|32|28|57|35|88|299|2|1|19|1|0.294|0.368|0.465
Brandon Lockridge|MIL|96|0|9|12|5|25|10|25|85|0|0|4|0|0.294|0.368|0.341
Sam Antonacci|CHW|226|4|36|19|9|35|16|56|191|1|16|10|2|0.293|0.393|0.429
Casey Schmitt|SFG|289|16|34|41|7|57|7|80|273|3|6|15|1|0.293|0.322|0.531
Jake McCarthy|COL|215|5|26|28|11|40|13|57|195|3|1|13|3|0.292|0.335|0.467
Ernie Clement|TOR|302|7|35|28|2|32|9|85|291|2|0|20|1|0.292|0.311|0.44
Randy Arozarena|SEA|302|7|47|33|19|66|28|76|261|3|10|18|1|0.291|0.377|0.448
Paul Goldschmidt|NYY|198|12|27|37|1|38|15|52|179|1|3|8|1|0.291|0.354|0.547
Eloy Jiménez|TOR|35|0|2|3|0|7|3|9|31|1|0|0|0|0.29|0.343|0.29
Nick Gonzales|PIT|288|2|38|33|4|51|16|77|266|1|5|11|1|0.289|0.34|0.361
Alex Jackson|MIN|39|0|5|2|0|13|0|11|38|0|1|3|0|0.289|0.308|0.368
William Contreras|MIL|305|6|41|43|1|39|27|79|273|4|1|12|0|0.289|0.351|0.399
Alika Williams|ATH|48|1|6|5|0|13|2|13|45|0|0|5|0|0.289|0.319|0.467
Luis Campusano|SDP|58|3|9|10|0|15|5|15|52|0|1|7|0|0.288|0.362|0.596
Ben Rice|NYY|303|21|54|52|2|70|39|75|260|2|2|15|2|0.288|0.383|0.604
Ryan Vilade|TBR|127|4|11|25|3|23|12|32|111|3|0|5|1|0.288|0.349|0.459
Wade Meckler|LAA|89|2|12|13|2|19|9|23|80|0|0|6|0|0.288|0.36|0.438
Riley Greene|DET|318|8|37|33|1|89|39|79|275|2|2|16|0|0.287|0.377|0.433
Nick Kurtz|ATH|348|18|54|58|7|103|71|79|275|0|2|15|1|0.287|0.437|0.545
Daniel Susac|SFG|106|0|5|14|1|22|6|27|94|2|2|5|1|0.287|0.337|0.362
