name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|hbp|x2b|x3b|avg|obp|slg
Victor Mederos|ATL|1|0|0|2|0|0|0|1|1|0|0|0|0|1.0|1.0|1.0
Jihwan Bae|MIL|4|0|1|0|1|1|0|1|2|0|1|0|0|0.5|0.667|0.5
Jair Camargo|ATL|2|0|1|0|0|1|0|1|2|0|0|1|0|0.5|0.5|1.0
Gabriel Gonzalez|MIN|4|0|1|0|0|0|2|1|2|0|0|0|0|0.5|0.75|0.5
Joshua Kuroda-Grauer|ATH|62|1|8|4|0|7|1|25|60|0|1|7|0|0.417|0.435|0.583
Justin Dean|CHC|10|0|3|3|1|4|2|3|8|0|0|0|1|0.375|0.5|0.625
Michael Stefanic|ATH|8|0|1|1|0|1|0|3|8|0|0|1|0|0.375|0.375|0.5
Brewer Hicklen|ATL|23|0|6|3|0|8|4|7|19|0|0|4|0|0.368|0.478|0.579
Gustavo Campero|LAA|12|0|0|2|0|4|0|4|11|1|0|1|0|0.364|0.333|0.455
José Azócar|ATL|18|0|2|0|1|4|1|6|17|0|0|2|0|0.353|0.389|0.471
Samad Taylor|SDP|104|1|15|11|6|30|12|30|89|0|0|1|1|0.337|0.416|0.404
Brett Bateman|TOR|88|0|10|7|3|19|7|26|78|1|0|4|1|0.333|0.384|0.41
Tyler Black|MIL|28|0|2|7|0|7|1|9|27|0|0|4|0|0.333|0.357|0.481
Bryan De La Cruz|PHI|51|2|6|11|0|11|2|15|45|2|2|2|0|0.333|0.373|0.511
Deyvison De Los Santos|MIA|9|0|0|0|0|3|0|3|9|0|0|1|0|0.333|0.333|0.444
Matthew Lugo|KCR|3|0|0|0|0|2|0|1|3|0|0|0|0|0.333|0.333|0.333
Omar Martinez|LAA|3|0|0|0|0|1|0|1|3|0|0|0|0|0.333|0.333|0.333
Yordan Alvarez|HOU|593|37|90|93|1|103|93|154|486|5|9|28|1|0.317|0.432|0.607
Luis Arraez|PHI|563|6|63|55|10|24|27|163|515|11|4|28|7|0.317|0.348|0.433
Eduardo Valencia|DET|78|6|13|17|0|23|1|24|76|0|1|7|0|0.316|0.333|0.645
