name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|hbp|x2b|x3b|avg|obp|slg
Enrique Hernández|LAD|4|1|2|2|0|0|0|4|4|0|0|2|0|1.0|1.0|2.25
Cody Freeman|TEX|2|0|0|0|0|1|0|1|2|0|0|0|0|0.5|0.5|0.5
Gabriel Gonzalez|MIN|4|0|1|0|0|0|2|1|2|0|0|0|0|0.5|0.75|0.5
Jonah Cox|SFG|9|1|4|1|1|3|0|4|9|0|0|1|0|0.444|0.444|0.889
Michael Stefanic|ATH|5|0|1|0|0|1|0|2|5|0|0|0|0|0.4|0.4|0.4
Nelson Velázquez|STL|20|1|4|4|0|4|1|7|18|0|1|1|0|0.389|0.45|0.611
Jose Siri|LAA|34|2|11|9|0|10|2|11|31|0|0|3|0|0.355|0.394|0.645
Nick Madrigal|LAA|27|0|4|1|0|2|3|8|23|0|1|1|0|0.348|0.444|0.391
Andrew Vaughn|MIL|90|1|13|13|0|10|6|28|82|0|2|7|1|0.341|0.4|0.488
Wade Meckler|LAA|51|2|7|10|2|8|4|16|47|0|0|4|0|0.34|0.392|0.553
Brandon Marsh|PHI|228|8|33|30|5|52|11|72|213|3|1|11|2|0.338|0.368|0.521
Otto Lopez|MIA|274|5|36|27|10|44|10|86|256|4|4|16|3|0.336|0.365|0.48
José Azócar|ATL|16|0|1|0|1|3|1|5|15|0|0|2|0|0.333|0.375|0.467
Tyler Black|MIL|28|0|2|7|0|7|1|9|27|0|0|4|0|0.333|0.357|0.481
Jordan Lawlar|ARI|20|1|3|2|1|6|1|6|18|0|1|1|0|0.333|0.4|0.556
Omar Martinez|LAA|3|0|0|0|0|1|0|1|3|0|0|0|0|0.333|0.333|0.333
Anthony Seigler|BOS|4|0|0|0|0|1|1|1|3|0|0|1|0|0.333|0.5|0.667
Yandy Díaz|TBR|258|11|32|42|1|33|22|74|228|1|7|11|1|0.325|0.399|0.526
Jung Hoo Lee|SFG|235|3|30|22|2|24|10|71|220|2|3|14|2|0.323|0.357|0.445
Luis Arraez|SFG|277|2|33|25|5|12|15|80|248|7|3|13|4|0.323|0.359|0.431
Yordan Alvarez|HOU|288|22|45|48|1|49|44|75|237|2|5|13|0|0.316|0.431|0.65
Nathan Lukes|TOR|105|1|12|12|0|14|4|30|95|1|4|6|0|0.316|0.365|0.411
Troy Johnston|COL|228|2|25|28|4|44|17|65|207|1|2|18|0|0.314|0.37|0.43
Carlos Cortes|ATH|177|5|15|17|1|17|21|48|153|1|2|9|1|0.314|0.401|0.484
Josh Jung|TEX|253|8|31|29|1|38|18|72|230|2|3|16|0|0.313|0.368|0.487
Nick Gonzales|PIT|242|2|34|31|3|42|15|69|223|1|3|11|0|0.309|0.36|0.386
Henry Bolte|ATH|79|0|5|5|4|22|7|21|68|1|3|4|0|0.309|0.392|0.368
Tristan Peters|CHW|182|2|19|18|4|33|13|50|163|0|2|15|1|0.307|0.365|0.448
Michael Harris II|ATL|235|13|30|40|3|44|11|68|222|1|1|9|0|0.306|0.34|0.523
Ernie Clement|TOR|261|6|30|25|2|24|8|77|252|1|0|19|1|0.306|0.326|0.46
Riley Greene|DET|275|6|33|29|1|76|34|73|239|0|2|16|0|0.305|0.396|0.448
Drake Baldwin|ATL|216|13|39|38|1|44|24|57|188|1|3|6|0|0.303|0.389|0.543
Mickey Gasper|BOS|73|0|10|5|0|18|4|20|66|1|1|3|1|0.303|0.347|0.379
Jordan Walker|STL|265|16|44|47|10|69|21|73|241|1|2|14|0|0.303|0.362|0.56
Dominic Smith|ATL|153|6|24|28|0|22|9|42|139|3|1|4|1|0.302|0.342|0.475
Xavier Edwards|MIA|280|6|41|20|11|34|34|74|245|0|0|11|4|0.302|0.387|0.453
Shohei Ohtani|LAD|284|11|44|35|6|64|43|70|232|3|5|14|2|0.302|0.417|0.522
Yohendrick Piñango|TOR|108|4|9|17|0|24|5|31|103|0|0|4|0|0.301|0.333|0.456
Orlando Arcia|MIN|42|1|6|2|0|6|2|12|40|0|0|1|0|0.3|0.333|0.4
Blake Dunn|CIN|96|2|13|5|3|20|5|27|90|0|1|4|1|0.3|0.344|0.433
Jacob Gonzalez|CHW|23|1|2|4|0|7|3|6|20|0|0|0|0|0.3|0.391|0.45
Lars Nootbaar|STL|13|1|2|3|0|3|3|3|10|0|0|1|0|0.3|0.462|0.7
LaMonte Wade Jr.|HOU|10|1|2|3|0|3|0|3|10|0|0|1|0|0.3|0.3|0.7
Ben Rice|NYY|250|18|47|45|2|60|32|64|214|2|2|15|2|0.299|0.392|0.64
Willson Contreras|BOS|253|13|29|39|1|63|25|64|215|3|10|9|2|0.298|0.391|0.54
Daniel Susac|SFG|83|0|4|11|0|19|5|22|74|1|2|4|1|0.297|0.354|0.378
Taylor Trammell|HOU|71|0|8|6|1|24|5|19|64|0|1|4|1|0.297|0.357|0.391
Jeremy Peña|HOU|127|3|22|12|3|17|8|34|115|1|3|7|0|0.296|0.354|0.435
Ryan Jeffers|MIN|148|7|26|26|1|23|23|36|122|1|1|7|1|0.295|0.408|0.541
Brandon Lockridge|MIL|96|0|9|12|5|25|10|25|85|0|0|4|0|0.294|0.368|0.341
Jorge Mateo|ATL|91|4|23|11|7|26|6|25|85|0|0|4|0|0.294|0.341|0.482
Ezequiel Duran|TEX|203|4|26|35|5|47|16|54|184|2|0|14|2|0.293|0.347|0.457
Jackson Chourio|MIL|134|4|19|16|5|36|11|36|123|0|0|11|0|0.293|0.351|0.48
Jacob Wilson|ATH|168|3|18|19|2|20|5|47|161|1|0|8|0|0.292|0.311|0.398
Jhonny Pereda|SEA|53|2|6|4|0|7|4|14|48|0|1|0|0|0.292|0.358|0.417
Kevin McGonigle|DET|277|4|40|24|9|36|38|69|237|0|2|14|3|0.291|0.394|0.426
