name|stuff_plus|location_plus|pitching_plus
Chris Sale|104|111|110
Tarik Skubal|112|100|112
Zack Wheeler|110|104|113
Cole Ragans|110|99|110
Seth Lugo|97|100|97
Dylan Cease|110|104|113
Cristopher Sanchez|107|103|111
Garrett Crochet|116|103|116
Logan Webb|109|104|112
Paul Skenes|108|110|115
George Kirby|104|110|112
Logan Gilbert|96|113|111
Michael King|96|104|100
Tanner Houck|104|105|107
Tyler Glasnow|108|100|112
Corbin Burnes|113|104|119
Sonny Gray|97|106|107
Framber Valdez|107|101|110
Hunter Greene|113|96|108
Yusei Kikuchi|104|106|110
Reynaldo Lopez|98|103|98
Ranger Suarez|97|111|108
Max Fried|104|99|104
Nick Martinez|95|113|106
Erick Fedde|91|109|102
Jack Flaherty|99|105|104
Michael Wacha|100|104|106
Tanner Bibee|103|100|99
Pablo Lopez|94|113|106
Hunter Brown|105|99|105
MacKenzie Gore|104|98|104
Shota Imanaga|97|109|106
Aaron Nola|112|101|111
Brandon Pfaadt|103|107|108
Nestor Cortes|108|98|105
Joe Ryan|105|110|113
Blake Snell|105|103|111
Kevin Gausman|96|105|103
Bailey Ober|97|107|104
Justin Steele|101|102|102
Yoshinobu Yamamoto|97|108|105
Zac Gallen|92|104|100
Sean Manaea|98|97|94
Zach Eflin|100|109|105
Bryce Miller|105|103|108
Spencer Schwellenbach|107|107|113
Cade Smith|104|106|108
Nathan Eovaldi|100|104|101
Griffin Jax|110|120|129
Brady Singer|91|100|92
Reese Olson|93|99|93
Ryan Feltner|93|100|94
Mitchell Parker|89|102|91
Jameson Taillon|93|108|100
Luis Castillo|103|103|105
Freddy Peralta|99|102|100
Chris Bassitt|98|97|94
Zack Littell|89|110|100
Ryan Helsley|129|95|121
Mason Miller|129|93|120
Ronel Blanco|90|103|96
Mitch Keller|100|97|97
Ryne Nelson|102|103|103
Bryan Woo|107|110|113
Andrew Heaney|99|103|100
Emmanuel Clase|128|101|128
Luis Gil|106|92|102
Gavin Stone|99|103|104
Luis Severino|109|96|102
Tobias Myers|91|102|94
Matt Strahm|115|101|111
Brayan Bello|97|107|107
Grayson Rodriguez|108|106|113
Nick Lodolo|104|97|97
Trevor Williams|90|103|94
Nick Pivetta|103|107|109
Jeff Hoffman|115|99|110
David Peterson|93|98|96
Miles Mikolas|94|108|97
Ryan Pepiot|110|98|108
Kirby Yates|97|99|94
Jake Irvin|99|103|98
Kutter Crawford|100|104|104
Gerrit Cole|107|100|107
Andre Pallante|97|101|100
Matt Waldron|90|105|95
Jared Jones|104|105|110
Simeon Woods Richardson|90|106|98
Jon Gray|89|104|94
David Robertson|112|97|109
Joe Jimenez|104|104|105
Ryan Walker|111|105|110
Bailey Falter|96|98|95
Spencer Arrighetti|100|98|98
Jose Soriano|107|102|110
Patrick Corbin|93|102|96
Clarke Schmidt|107|100|106
A.J. Puk|109|111|118
DJ Herz|99|93|91
Edwin Uceta|103|105|107
Lucas Erceg|111|105|115
Carlos Rodon|111|95|106
Tanner Scott|124|96|118
Hunter Gaddis|99|110|110
Raisel Iglesias|107|103|109
Jeremiah Estrada|107|114|121
Tyler Anderson|98|96|94
Cole Sands|99|108|106
Albert Suarez|89|103|93
Taj Bradley|109|90|100
Tyler Holton|101|102|101
Justin Slaten|108|100|111
Cody Bradford|89|112|98
Orion Kerkering|119|108|123
Robert Garcia|103|107|106
Alec Marsh|94|97|90
Dean Kremer|96|100|96
Kyle Gibson|87|100|94
Joe Musgrove|108|97|104
Justin Martinez|121|94|119
Osvaldo Bido|104|82|89
Kenley Jansen|120|97|114
Tylor Megill|103|95|100
Keegan Akin|111|100|109
Kyle Bradish|97|110|107
Kevin Ginkel|95|112|107
Mitch Spence|103|102|106
Jason Adam|109|94|105
Lance Lynn|98|95|92
Frankie Montas|102|98|101
Austin Gomber|91|106|97
Declan Cronin|93|100|94
Gavin Williams|101|103|104
Chris Flexen|81|100|83
Calvin Faucher|100|94|93
Casey Mize|99|104|103
Ben Brown|100|95|94
JP Sears|95|104|96
Jhoan Duran|125|93|115
Joe Mantiply|106|98|102
Will Vest|98|107|102
Clay Holmes|126|102|122
Dennis Santana|105|93|97
Fernando Cruz|104|89|96
Grant Holmes|90|100|91
Patrick Sandoval|100|104|107
Jose Berrios|94|104|99
Jose Quintana|88|101|93
Charlie Morton|98|96|93
Derek Law|95|107|102
Yu Darvish|100|101|101
Edwin Diaz|115|96|114
Cooper Criswell|103|101|101
Alex Vesia|114|97|109
Ryan Weathers|100|100|99
Aroldis Chapman|105|113|117
Jonathan Cannon|96|104|100
Chris Paddack|92|113|106
Carlos Estevez|102|103|104
Shane Baz|102|96|100
Aaron Bummer|114|98|106
John Schreiber|100|102|100
Mark Leiter Jr.|89|101|93
Adrian Morejon|124|104|124
Tanner Banks|101|105|106
David Festa|97|102|103
Ross Stripling|85|111|95
Yariel Rodriguez|94|93|90
Andrew Abbott|94|98|91
Bowden Francis|99|103|100
Blake Treinen|105|109|111
Jose Butto|92|86|83
Luke Weaver|100|98|102
Javier Assad|91|98|92
Tim Herrin|101|99|97
Trevor Megill|117|99|115
Marcus Stroman|85|101|90
Jared Koenig|107|101|105
Robert Suarez|116|97|111
Reed Garrett|115|86|103
Josh Hader|113|106|119
Aaron Civale|106|98|99
Ryan Thompson|118|101|114
Luis L. Ortiz|98|101|99
Evan Phillips|116|103|117
Anthony Bender|117|100|113
Hoby Milner|105|107|106
Kyle Freeland|90|106|97
Porter Hodge|105|89|96
Bryan Abreu|109|92|101
Chris Martin|104|110|109
Joe Ross|93|103|97
Rhett Lowder|90|103|94
Dedniel Nunez|111|104|114
Matthew Boyd|91|104|91
Ryan Pressly|102|99|103
Trevor Rogers|89|104|96
Kris Bubic|95|116|110
Ben Lively|82|103|83
Colin Rea|96|100|95
James Paxton|88|97|86
Kyle Harrison|89|103|92
Brant Hurter|105|101|102
Jose Leclerc|104|96|100
Kevin Kelly|122|106|115
Dylan Lee|105|102|105
Jakob Junis|98|112|105
Beau Brieske|102|96|99
Tony Santillan|104|114|116
Nick Mears|109|96|106
Michael Lorenzen|91|96|89
Joey Estes|97|107|99
Bryan Hudson|100|103|99
Justin Verlander|106|89|95
Tyler Ferguson|114|99|109
Randy Vasquez|101|97|98
Spencer Turnbull|101|101|103
Shawn Armstrong|105|104|102
Jesus Luzardo|99|98|98
Andrew Nardi|106|104|109
Jacob Webb|96|100|96
Hunter Stratton|106|96|100
Hunter Harvey|106|105|109
Clayton Kershaw|101|97|100
Cionel Perez|103|102|105
Jesus Tinoco|109|106|113
Michel Otanez|124|80|102
Ryan Fernandez|103|93|98
Jordan Montgomery|93|98|90
Jalen Beeks|95|93|90
Dylan Floro|93|103|96
Carmen Mlodzinski|105|99|103
Merrill Kelly|91|102|95
Yennier Cano|112|111|122
Trent Thornton|108|105|110
Michael Tonkin|103|98|98
Edward Cabrera|99|95|96
Reid Detmers|104|98|101
Andres Munoz|114|91|103
Tyler Rogers|119|111|120
Anthony Banda|106|103|109
Pete Fairbanks|116|94|108
Ben Joyce|128|85|112
Bryan Hoeing|98|103|102
Max Scherzer|100|104|102
Jack Kochanowicz|101|100|100
Jose Alvarado|111|97|114
Braxton Garrett|96|102|98
Jose A. Ferrer|119|98|113
Huascar Brazoban|100|93|97
Ian Hamilton|107|95|99
Davis Martin|94|97|94
Cal Quantrill|86|97|86
Pierce Johnson|105|100|103
Tyson Miller|104|106|109
Martin Perez|84|107|93
Paul Blackburn|88|110|102
Graham Ashcraft|102|96|100
Hogan Harris|97|96|92
Greg Weissert|109|108|113
Tim Hill|116|98|110
Jordan Hicks|105|94|99
Emilio Pagan|106|105|107
Collin Snider|114|106|113
Buck Farmer|99|100|98
Joel Payamps|102|105|105
Landon Knack|94|101|94
Randy Rodriguez|109|93|103
Gregory Soto|118|89|105
Cade Povich|97|97|94
Adam Ottavino|107|96|99
Landen Roupp|98|102|100
Ryan Burr|93|97|92
Michael Kopech|127|86|112
Cole Irvin|94|100|93
Victor Vodnik|99|99|100
Andrew Chafin|97|91|92
Erik Miller|103|101|104
Burch Smith|104|97|101
Michael Grove|95|111|107
Kyle Hendricks|85|106|92
Sam Moll|106|97|101
Yimi Garcia|122|101|121
Matthew Liberatore|104|98|100
Jeffrey Springs|93|99|92
Joey Cantillo|92|99|90
Luis Medina|101|89|89
Brock Burke|103|99|101
J.T. Ginn|93|109|104
Davis Daniel|92|108|99
Christian Scott|100|101|103
Michael Soroka|95|91|87
Daniel Hudson|101|105|103
Andrew Kittredge|99|112|111
Luis Garcia|105|105|111
Jorge Alcala|107|102|110
Yuki Matsui|102|94|98
Eli Morgan|95|104|96
John King|102|107|108
Jason Foley|105|103|107
Cristian Javier|99|94|98
Sean Hjelle|107|105|110
Eduardo Rodriguez|92|102|94
Stephen Kolek|109|110|118
Joe Boyle|105|83|90
Cam Booser|112|94|104
T.J. McFarland|92|110|101
Kyle Leahy|93|110|109
Jhony Brito|104|103|109
Shawn Dubin|98|86|89
Paul Sewald|117|92|108
Caleb Ferguson|102|100|99
Chad Kuhl|98|84|85
Tayler Scott|94|95|90
Garrett Cleavinger|113|89|101
Craig Kimbrel|106|98|105
Pedro Avila|88|96|86
Brennan Bernardino|105|94|94
Josh Winckowski|105|102|109
Danny Young|111|89|96
Manuel Rodriguez|107|96|103
Sam Long|101|95|95
Hunter Strickland|106|102|106
Hayden Wesneski|96|105|101
Keegan Thompson|98|97|97
Jorge Lopez|104|99|103
Tayler Saucedo|101|88|91
Angel Zerpa|111|96|108
Alexis Diaz|92|104|97
Jared Shuster|85|104|92
Dillon Tate|107|91|97
Caleb Thielbar|112|106|114
Peter Lambert|92|90|84
Bryce Elder|87|101|92
Slade Cecconi|95|111|104
Taylor Rogers|104|97|94
Brent Suter|106|99|105
Justin Anderson|107|89|96
Marco Gonzales|84|98|81
Joey Wentz|98|95|92
DL Hall|89|98|89
Anthony Molina|91|102|95
Carlos Hernandez|106|98|103
Carson Fulmer|89|95|89
Elvis Peguero|107|97|105
Griffin Canning|86|102|93
Jose Ruiz|105|105|108
Hayden Birdsong|100|89|89
Camilo Doval|111|92|108
James McArthur|102|104|106
Chad Green|104|103|105
Michael Kelly|107|94|98
Colin Holderman|113|91|103
Phil Maton|97|100|103
Richard Lovelady|104|94|98
Robbie Ray|105|86|90
Quinn Priester|91|98|91
Carlos Carrasco|84|98|86
Jake Cousins|106|95|99
Kyle Nicolas|107|79|85
Nate Pearson|113|94|107
Trevor Richards|102|95|95
Scott Alexander|101|101|103
Brent Honeywell|92|101|90
Chris Roycroft|109|104|110
Justin Wilson|109|98|104
Jose Suarez|101|88|91
Tommy Kahnle|92|89|85
Kyle Muller|94|103|97
John Brebbia|99|103|98
Sixto Sanchez|91|100|94
Yohan Ramirez|109|93|101
Jake Woodford|91|99|92
Hector Neris|95|99|90
Jacob Barnes|100|100|101
Ryne Stanek|107|95|104
Keider Montero|95|99|94
A.J. Minter|108|100|106
Ryan Yarbrough|109|96|98
Jose Urena|93|100|96
Carson Spiers|96|101|95
Kyle Finnegan|103|104|104
Scott Barlow|103|84|88
Kenta Maeda|92|104|99
Keaton Winn|102|96|100
Daniel Lynch IV|92|98|91
Austin Voth|101|102|100
Xzavion Curry|89|106|93
Adam Oller|92|94|91
Dakota Hudson|87|89|80
Austin Adams|90|101|95
Josh Fleming|99|94|96
Joe Kelly|108|91|98
Steven Matz|97|110|106
Bradley Blalock|90|94|87
Kyle Tyler|73|112|92
JoJo Romero|108|95|102
Tyler Kinley|94|100|97
Dane Dunning|90|94|87
Luke Jackson|100|104|106
Tyler Phillips|93|103|94
Valente Bellozo|86|98|86
Seranthony Dominguez|118|93|110
Drew Thorpe|83|98|84
Jordan Wicks|102|100|102
Alex Wood|93|99|88
Walker Buehler|100|98|100
Adrian Houser|90|100|92
Kody Funderburk|108|88|96
Tim Mayza|100|98|100
Shelby Miller|89|103|93
Chris Stratton|90|96|89
JT Chargois|97|99|96
Seth Martinez|101|99|99
Nick Anderson|90|103|88
Steven Okert|113|105|116
David Bednar|109|96|104
Jesse Chavez|95|102|95
Angel Chivilli|85|98|86
Matt Bowman|106|99|108
Zebby Matthews|97|99|97
Tanner Rainey|103|85|88
Yonny Chirinos|100|95|92
Tanner Gordon|88|104|90
Jack Leiter|105|94|99
Zack Kelly|115|99|112
Bryse Wilson|102|98|98
Drew Smyly|105|102|102
Spencer Bivens|104|106|111
Max Meyer|88|100|94
Jacob Latz|103|95|99
Jake Bird|107|86|87
Julian Aguiar|89|103|91
