name|stuff_plus|location_plus|pitching_plus
Gage Jump|107|96|103
Taylor Clarke|91|106|103
Yusei Kikuchi|98|103|103
Bryan King|98|106|103
Jakob Junis|91|112|102
Emerson Hancock|102|106|102
Erik Sabrowski|110|95|102
Hunter Dobbins|101|104|102
Eduard Bazardo|103|105|102
Tyler Wells|97|105|102
Josh Ekness|118|86|102
Andrew Alvarez|96|102|102
Connor Prielipp|102|104|102
Clay Holmes|101|103|102
Kevin Ginkel|93|111|102
Stephen Kolek|92|108|102
Lucas Erceg|98|104|102
Grayson Rodriguez|105|97|102
Drew Anderson|99|102|102
Erik Miller|114|87|102
Joe La Sorsa|110|110|102
Joe Mantiply|112|91|102
Ryan Rolison|99|101|102
Brandon Young|96|106|102
Franco Aleman|120|90|102
Wandy Peralta|99|102|102
Colin Holderman|110|98|102
Garrett Whitlock|100|104|101
Cade Gibson|104|99|101
Andrew Kittredge|98|104|101
Ryan Walker|109|94|101
Ryan Watson|92|108|101
Tyler Glasnow|104|96|101
Shota Imanaga|92|108|101
Kyle Bradish|100|100|101
Zac Gallen|87|111|101
Gus Varland|102|102|101
Jake Woodford|99|104|101
Tyler Alexander|97|105|101
Christian Scott|107|96|101
Tyler Mahle|89|109|101
Peyton Gray|90|110|101
Shane Baz|99|100|101
Connelly Early|102|98|101
Colton Gordon|97|104|101
Freddy Peralta|95|105|101
Eduardo Rodriguez|90|107|101
Steven Matz|97|104|101
Blade Tidwell|113|93|100
José Urquidy|101|105|100
William Kempner|115|86|100
Ranger Suarez|95|104|100
Gregory Santos|99|100|100
Trevor Martin|101|98|100
Ryan Fernandez|98|101|100
John Schreiber|99|99|100
Ben Brown|102|99|100
Andre Pallante|97|103|100
J.T. Ginn|94|102|100
Chris Paddack|89|111|100
Brock Burke|106|93|100
Josh Fleming|107|92|100
Gerrit Cole|100|102|100
Tyler Holton|102|98|100
Tristan Beck|96|106|100
Tyler Gilbert|107|96|100
Matt Brash|102|97|100
Tommy Nance|111|91|100
Jesse Scholtens|92|106|100
Phil Maton|102|93|99
Sam Moll|101|95|99
MacKenzie Gore|99|101|99
Jordan Leasure|105|95|99
Ethan Roberts|97|99|99
Alimber Santa|101|95|99
Justin Sterner|100|102|99
David Morgan|100|100|99
Joel Payamps|96|102|99
Jameson Taillon|93|102|99
Chase Solesky|109|95|99
Miles Mikolas|90|110|99
Adrian Houser|89|108|99
Foster Griffin|98|102|99
Caleb Kilian|103|98|99
Cam Sanders|106|92|99
Philip Abner|90|103|99
Sean Burke|97|103|99
Hogan Harris|104|97|99
Brenan Hanifee|103|97|99
Gregory Soto|112|92|99
A.J. Minter|100|101|99
Raisel Iglesias|96|105|99
Taylor Rogers|103|99|99
Jared Koenig|112|90|99
Trevor Rogers|101|100|99
Garrett Acton|101|99|99
Chase Shugart|103|95|99
Rico Garcia|100|98|99
Michael Soroka|94|107|99
Edward Cabrera|93|104|99
Cole Winn|99|98|99
Brandyn Garcia|118|83|99
Sean Sullivan|73|125|98
TJ Shook|83|107|98
Johan Oviedo|104|95|98
Tanner Banks|100|99|98
Michael Wacha|96|101|98
Zach Eflin|95|107|98
Huascar Brazobán|96|100|98
Kyle Leahy|89|105|98
Cole Sulser|95|100|98
Lake Bachar|99|98|98
Mitchell Parker|95|104|98
Brent Suter|100|104|98
Jack Leiter|102|94|98
Danny Coulombe|96|96|98
Alex Lange|96|97|98
JR Ritchie|94|98|98
Jeffrey Springs|97|101|98
Tyler Phillips|97|98|98
Taj Bradley|108|89|97
Cole Sands|94|103|97
Juan Mejia|101|100|97
Wilber Dotel|103|94|97
Chad Patrick|98|97|97
Randy Vásquez|98|102|97
Seranthony Domínguez|108|90|97
Michael King|96|100|97
Brent Headrick|102|96|97
Brandon Eisert|82|108|97
Brooks Raley|111|87|97
Yerry De los Santos|95|104|97
José Suarez|97|100|97
Edwin Díaz|107|93|97
Braydon Fisher|100|100|97
Connor Brogdon|95|98|97
Anthony Nunez|105|90|97
Matthew Liberatore|98|101|97
Joel Kuhnel|96|102|97
Zach Pop|105|92|97
Kyle Hart|107|90|97
Samy Natera Jr.|109|87|97
Kris Bubic|93|100|97
Jake Irvin|99|100|97
Tyler Samaniego|101|95|97
Lance McCullers Jr.|97|96|97
Kyle Finnegan|100|95|97
Cade Cavalli|102|96|97
Erick Fedde|90|106|96
JT Brubaker|93|104|96
Dylan Smith|104|92|96
Brooks Kriske|98|100|96
Ron Marinaccio|95|102|96
George Soriano|101|94|96
Cody Bolton|98|98|96
Adam Macko|98|100|96
Mason Black|95|101|96
Alan Rangel|104|94|96
Carmen Mlodzinski|92|104|96
Trey Yesavage|110|87|96
Mitch Keller|93|103|96
Andrew Abbott|95|102|96
Anthony Molina|95|104|96
Casey Mize|89|105|96
Sean Manaea|103|98|96
Troy Melton|96|95|96
Trey Gibson|98|93|96
Brant Hurter|117|82|96
Cole Ragans|109|87|96
Brandon Woodruff|97|100|96
Paxton Schultz|91|104|96
Walker Buehler|95|99|96
Sam Bachman|103|92|96
Jacob Lopez|93|101|96
Seth Lugo|88|107|96
Keegan Thompson|91|106|96
Mark Leiter Jr.|91|102|96
Pierce Johnson|100|100|96
Chris Bassitt|96|100|96
Jonathan Hernández|107|91|96
Chris Roycroft|95|101|95
Yuki Matsui|103|93|95
Eric Orze|96|97|95
Brandan Bidois|110|87|95
Justin Topa|95|99|95
Brayan Bello|92|103|95
Emilio Pagán|103|92|95
Calvin Faucher|105|90|95
Luis García|95|98|95
Connor Phillips|115|81|95
Hunter Gaddis|98|94|95
Luinder Avila|103|89|95
Jedixson Paez|81|103|95
Patrick Corbin|93|102|95
Chris Devenski|105|100|95
Chayce McDermott|85|93|95
Tyler Uberstine|107|95|95
Kyle Hurt|95|99|95
Luis Medina|100|94|95
Keider Montero|93|103|95
Tejay Antone|98|99|95
Zach Maxwell|112|85|95
David Sandlin|101|94|95
Bryan Hudson|106|89|94
Chase Silseth|95|98|94
Matt Gage|95|96|94
Jack Flaherty|100|95|94
Connor Seabold|91|103|94
Yariel Rodríguez|98|91|94
Brennan Bernardino|91|106|94
José Fermin|106|90|94
Colin Rea|94|99|94
Trevor Richards|92|105|94
Brady Basso|102|91|94
AJ Blubaugh|100|94|94
Paul Blackburn|93|99|94
Cole Wilcox|100|96|94
Ryan Yarbrough|99|99|94
Robby Snelling|105|92|94
Zebby Matthews|95|99|94
Jovani Morán|99|94|94
Ryan Borucki|98|92|94
Tanner Gordon|88|108|94
Bryce Elder|86|105|94
Kodai Senga|97|91|94
Blas Castaño|92|105|94
Gordon Graceffo|91|100|94
Matt Festa|102|91|94
Michael McGreevy|81|110|94
Dax Fulton|105|83|93
Nick Lodolo|107|90|93
Brandon Pfaadt|97|95|93
Spencer Arrighetti|99|91|93
Tony Santillan|90|102|93
Rolddy Muñoz|93|104|93
Matt Strahm|101|91|93
Nick Davila|94|100|93
David Peterson|89|100|93
Zach Thornton|98|104|93
Merrill Kelly|87|101|93
Ricky Vanasco|89|103|93
Ryan Weiss|102|91|93
Tommy Kahnle|92|102|93
Martín Pérez|88|102|93
Welinton Herrera|91|101|93
Joe Boyle|106|84|93
Richard Lovelady|96|97|93
DL Hall|103|90|93
Shawn Armstrong|104|91|93
Ryan Feltner|91|96|93
Chad Dallas|96|95|93
Brad Lord|95|101|93
Mike Burrows|93|98|93
Kyle Freeland|92|102|93
Evan Sisk|106|87|93
Andrew Hoffmann|90|101|93
Matt Svanson|97|96|92
Brandon Sproat|99|95|92
Cal Quantrill|89|106|92
John King|93|97|92
Jimmy Herget|101|96|92
Chris Murphy|103|87|92
Yoendrys Gómez|114|79|92
Michael Lorenzen|88|103|92
Dean Kremer|89|97|92
Peter Lambert|90|101|92
Kumar Rocker|91|98|92
Gavin Collyer|116|79|92
Austin Hedges|68|120|92
Albert Suárez|86|104|92
Carlos Rodón|108|86|92
Mason Barnett|101|92|92
Seth Johnson|109|82|91
Wilkin Ramos|94|98|91
Nick Mears|99|92|91
Noah Schultz|97|96|91
Jalen Beeks|88|101|91
Chase Lee|91|91|91
Shane Smith|97|92|91
Joey Cantillo|98|93|91
Sam Aldegheri|94|98|91
Clayton Beeter|98|93|91
Zach Agnos|91|99|91
Hunter Barco|102|88|91
Kai-Wei Teng|97|93|91
Victor Vodnik|98|86|91
Brandon Williamson|98|91|91
Cade Povich|103|89|91
Jack Kochanowicz|94|93|91
Kolby Allard|93|104|91
Rhett Lowder|85|102|91
Seth Halvorsen|106|86|90
Grant Holmes|89|99|90
Slade Cecconi|93|101|90
Jake Eder|92|98|90
Jordan Hicks|109|82|90
Spencer Strider|96|94|90
Brady Singer|91|98|90
Max Scherzer|91|99|90
Paul Gervase|90|98|90
Fernando Cruz|98|89|90
Zach McCambley|100|96|90
Robbie Ray|97|93|90
Nick Sandlin|99|87|90
Davis Martin|90|98|90
Trent Thornton|95|95|90
Jaden Hill|98|92|90
Anthony Banda|103|87|90
Jason Adam|98|94|89
Tim Herrin|99|91|89
Jared Shuster|91|90|89
Jonah Tong|97|91|89
Jose Espada|91|99|89
Justin Lawrence|103|86|89
Burch Smith|97|88|89
Carson Seymour|101|87|89
Kirby Yates|87|104|88
Tanner Andrews|87|89|88
Carlos Carrasco|81|103|88
Kendry Rojas|105|82|88
Brycen Mautz|98|85|88
Jayden Murray|92|97|88
Tatsuya Imai|87|99|88
Brandon Leibrandt|88|95|87
Eric Lauer|88|103|87
Reynaldo López|90|98|87
Eli Morgan|96|92|87
