name|barrel_pct|hard_hit_pct|woba|xwoba
Sandy León|0|19.2|.081|.132
Ben Rice|14.4|48.6|.371|.372
Jose Altuve|4.7|32.5|.311|.273
Oliver Dunn|0|25|.132|.207
Cristian Pache|0|25|.111|.137
Leo Bernal|10|70|.363|.385
Brian Navarreto|6.9|17.2|.188|.173
Tanner Murray|8.7|43.5|.256|.275
Tyler Heineman|0.7|11.7|.211|.243
Luke Williams|||.698|.698
José Fermín|2.4|32|.293|.292
Jared Young|7|44.7|.331|.307
Wyatt Langford|6.5|37.9|.343|.317
Richie Palacios|3.4|27.3|.297|.302
Mickey Gasper|9.8|37.4|.377|.363
Tyler Black|0|15|.364|.191
Nick Morabito|0|40|.226|.286
Leody Taveras|4.2|33.1|.287|.275
