name|barrel_pct|hard_hit_pct|woba|xwoba
Yandy Díaz|7.3|47.9|.365|.355
Luis Rengifo|4.1|34.3|.289|.304
Tommy Troy|10|31.1|.295|.317
Eric Haase|16.3|28.6|.264|.271
Oneil Cruz|17.2|56|.367|.356
George Valera|0|34.5|.235|.198
Drake Baldwin|12.9|51.7|.354|.368
James Wood|20.6|58.1|.394|.418
Kyle Higashioka|8.5|38.1|.303|.295
Endy Rodríguez|10.6|46.8|.370|.338
Daz Cameron|11.1|27.8|.239|.291
Corey Julks|0|33.3|.307|.188
Brenton Doyle|6.4|32.1|.254|.235
Noelvi Marte|5.1|30.2|.242|.237
Carson Benge|7.3|39.2|.334|.338
Miguel Vargas|13.7|45.6|.367|.387
Jordan Walker|13.5|48.9|.367|.352
Osleivis Basabe|7.7|36.7|.274|.286
Adley Rutschman|7.1|40.6|.324|.341
Jorge Barrosa|5|24.8|.281|.235
Zach Neto|11.6|41.1|.328|.306
Tommy White|8.1|32.3|.265|.298
Kyle Karros|7.9|41.2|.344|.338
Nathaniel Lowe|8.6|40.6|.333|.334
Ke'Bryan Hayes|7.9|41|.211|.309
Joshua Báez|15.4|48.7|.352|.311
Masataka Yoshida|3.4|39.9|.330|.318
Rafael Devers|11.6|50.9|.355|.336
Jake Meyers|6.3|27.9|.265|.256
Colt Keith|7.4|42|.318|.335
Sam Haggerty|0|7.1|.186|.182
Jeferson Quero|0|0|.349|.495
Corbin Carroll|11.8|47.4|.348|.343
Lane Thomas|6.4|41.2|.316|.314
Kyle Farmer|0|25|.246|.238
Justin Foscue|11.7|40.9|.355|.328
Matt Vierling|5|37.2|.259|.304
Esteury Ruiz|7.5|28|.345|.294
Jimmy Crooks|11.6|48.3|.264|.294
Jeimer Candelario|0|40|.198|.218
Colton Cowser|10.6|40.7|.300|.320
Charles McAdoo|5.5|30.9|.282|.269
Luis Torrens|5.7|41.3|.307|.297
Willy Adames|8.9|38.8|.311|.296
Mookie Betts|7.1|37.8|.314|.330
Derek Hill|9.6|33|.312|.283
Will Smith|12.7|40.7|.316|.382
Griffin Conine|15|50.4|.363|.363
Brandon Nimmo|10.1|50.8|.333|.356
Casey Schmitt|12.3|44.8|.336|.355
Tommy Pham|0|28.6|.047|.132
Bo Bichette|6.3|41.3|.309|.323
Pete Alonso|14.2|57.3|.371|.395
Spencer Horwitz|6.4|31.6|.324|.311
Hunter Goodman|16.1|45.8|.363|.324
Joc Pederson|11.1|51.3|.350|.342
Cooper Ingle|0|44.4|.162|.175
Miguel Andujar|4.5|36.3|.314|.298
Brett Callahan|8.3|50|.326|.351
Vidal Bruján|0|9.1|.132|.213
Anthony Volpe|4|35.4|.294|.290
Trea Turner|6.3|39.3|.294|.292
Bryce Harper|11.2|44.5|.390|.394
Daniel Schneemann|7.6|37.4|.267|.287
Javier Sanoja|2|30.4|.330|.287
Zack Gelof|8.8|42.4|.343|.308
Lars Nootbaar|10.3|49.7|.315|.343
Scott Kingery|0|0|.223|.156
LuJames Groover|11.1|45.9|.245|.286
Spencer Steer|12.4|39.1|.326|.342
Shay Whitcomb|13.5|32.4|.209|.234
Nick Yorke|5.1|43|.257|.287
Chase Meidroth|4.2|34.1|.332|.294
Leo Rivas|1.3|16.3|.227|.250
Cody Freeman|1.6|21|.320|.231
JJ Bleday|10.4|39.8|.338|.350
Jase Bowen|10.2|38|.219|.266
Thomas Saggese|12.7|38.1|.313|.312
Cam Smith|10.8|44.3|.291|.319
Tristan Peters|5.9|33.2|.353|.318
Ryan McMahon|9.6|48.1|.290|.306
Ramón Laureano|14.3|41.2|.292|.312
Brayan Rocchio|3|31|.295|.291
Dylan Crews|9.2|43.2|.287|.311
Sebastián Rivero|0|14.3|.262|.272
Jake Bauers|13.5|52.7|.381|.372
Alejandro Kirk|3.7|41.1|.325|.304
Michael Conforto|11.5|41.9|.340|.326
Kyle Isbel|3.1|33.9|.281|.267
Blake Hunt|||.000|.000
Connor Norby|6.7|36.5|.304|.294
Otto Lopez|6.2|41.1|.337|.323
Andrew Pinckney|13.3|60|.345|.338
Riley Greene|14.4|47.8|.351|.358
Luis García Jr.|12.1|46.5|.369|.351
Max Muncy|13.4|45.6|.358|.349
Miles Mikolas|0|0|.000|.000
Luis Arraez|1.2|18.9|.335|.306
Tyler Stephenson|12.5|45.7|.330|.338
William Contreras|7.9|43.5|.326|.334
Santiago Espinal|2|31.4|.282|.290
Oswaldo Cabrera|0|42.9|.000|.148
Austin Hays|3.8|40.4|.255|.271
Yohel Pozo|2.3|25.6|.258|.246
Ryan Ritter|0|33.3|.168|.210
Tim Tawa|10.3|45.2|.303|.308
Jose Siri|13.9|41.7|.293|.306
MJ Melendez|11.1|55.6|.302|.280
Angel Genao|5.6|52.1|.305|.301
Rhys Hoskins|12.6|41.3|.305|.297
Greg Jones|0|28.6|.077|.164
Steven Kwan|0.5|9.5|.325|.322
Max Schuemann|9.8|41.2|.317|.312
Angel Martínez|7.4|36.5|.313|.306
Sean Keys|3.8|57.7|.234|.231
Bo Naylor|11.1|42.6|.199|.295
Jesus Rodriguez|2.3|29.5|.322|.315
Sal Stewart|13.3|38.7|.352|.350
Felix Reyes|6.9|27.6|.181|.233
Samad Taylor|3|23.9|.375|.324
Luis Lara|4.8|43.8|.327|.322
Carson Kelly|5.5|36.5|.330|.315
Brandon Valenzuela|7.1|37.4|.303|.313
Nick Allen|1.9|28|.300|.252
Trevor Larnach|7.5|37.7|.343|.331
Joshua Kuroda-Grauer|1.9|40.4|.443|.327
Wilyer Abreu|12.4|44.1|.346|.348
TJ Rumfield|4.8|28.1|.367|.331
Jonah Cox|12.2|43.9|.365|.278
Brandon Lockridge|1.5|32.4|.302|.258
Eduardo Valencia|19.3|47.4|.406|.319
Matthew Lugo|0|0|.297|.001
Joey Loperfido|6.8|35.6|.289|.297
Aaron Judge|21.7|57.3|.386|.415
Maikel Garcia|4.6|40.8|.313|.317
Starling Marte|9.6|35.1|.276|.287
Matt McLain|9.6|37.1|.279|.306
Cole Carrigg|5.3|34|.338|.320
Vinnie Pasquantino|7.6|41.2|.312|.325
John Rave|11.8|35.3|.308|.321
Alejandro Osuna|0.6|29.2|.300|.300
Corey Seager|15.1|50|.320|.354
Jerar Encarnacion|7.7|34.6|.183|.210
Ronny Simon|3.6|28.6|.296|.308
Joe Mack|8.5|38.1|.303|.289
Jeremy Peña|6.5|39.1|.348|.331
Hao-Yu Lee|8.9|41.1|.321|.304
Collin Price|0|50|.219|.302
Adam Frazier|2.5|19|.303|.262
Tyler Tolbert|3.2|26.3|.356|.298
Bryan De La Cruz|5.1|41|.397|.294
Jung Hoo Lee|2.5|30.8|.324|.318
Jake Burger|11.6|47.1|.314|.309
Bryan Reynolds|11|47.4|.349|.355
Justin Crawford|1.3|35.6|.296|.282
Blaze Jordan|10.1|45|.284|.317
Christian Koss|5.1|29.7|.225|.232
Junior Caminero|12.9|50.2|.379|.363
Manny Machado|9.3|44.7|.310|.332
Cal Raleigh|14.5|39|.290|.307
Dansby Swanson|7.6|41.1|.309|.306
Yohendrick Piñango|8|45.6|.309|.309
Patrick Bailey|7.3|42.1|.269|.312
Evan Carter|5.1|35.8|.278|.278
